open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
67377.50000000,67836.01000000,66571.42000000,67426.00000000,24598.96268000,1654285791.66055570,3669291,12400.51857000,834160889.23987370
67426.01000000,67472.83000000,65260.00000000,66668.65000000,25530.24070000,1695101430.91874660,3807365,11888.33995000,789384635.11068600
66668.65000000,68850.00000000,66510.00000000,68198.28000000,22589.83877000,1526736320.91293800,3797462,11502.58514000,777936396.52474600
68198.27000000,68771.49000000,65596.29000000,66698.33000000,34479.71125000,2320667435.29325390,5332593,16031.03200000,1079347459.15496360
66698.32000000,67454.55000000,66439.90000000,67092.76000000,11842.90770000,792887047.14789200,2373501,6069.18986000,406369780.15329440
67092.76000000,68332.05000000,66913.73000000,68021.70000000,8653.19592000,585006148.47048090,1771989,4417.73620000,298699666.99843930
68021.69000000,70270.00000000,67618.00000000,69962.21000000,29046.75459000,2005105729.81744490,4432446,15218.34976000,1051606096.42982590
69962.21000000,73620.12000000,69760.00000000,72736.42000000,50128.60594000,3602465986.89175740,5645430,26898.46516000,1932608784.16303730
72736.41000000,72961.00000000,71436.00000000,72344.74000000,26885.99056000,1941210537.28828680,4040734,13487.21433000,973898183.74672780
72344.75000000,72700.00000000,69685.76000000,70292.01000000,29352.10297000,2091144977.49468470,4525542,14205.13879000,1012048241.84989380
70292.01000000,71632.95000000,68820.14000000,69496.01000000,38301.86755000,2677358022.00497000,4569271,18044.16220000,1261663986.75969040
69496.00000000,69914.37000000,69000.14000000,69374.74000000,10521.67243000,731232427.63115480,1603561,5227.50713000,363370734.81580110
69374.74000000,69391.00000000,67478.73000000,68775.99000000,24995.70243000,1709666206.40620230,3668029,12277.58177000,839939073.13895770
68775.99000000,69500.00000000,66835.00000000,67850.01000000,29800.39187000,2033902307.00277610,5377048,14927.24077000,1019257547.52468490
67850.01000000,70577.91000000,67476.63000000,69372.01000000,33355.06888000,2310418908.06992200,4955644,17059.88663000,1181816730.92378330
69372.01000000,76400.00000000,69298.00000000,75571.99000000,104126.99478700,7702283270.25800886,8434184,53243.88442700,3938516657.23273316
75571.99000000,76849.99000000,74416.00000000,75857.89000000,44869.42234500,3391796661.97195520,5207722,21805.46029500,1648278335.30073320
75857.89000000,77199.99000000,75555.00000000,76509.78000000,36521.09958300,2784449097.53151828,4877489,17555.39363300,1339019332.19671258
76509.78000000,76900.00000000,75714.66000000,76677.46000000,16942.07915000,1294709001.60288990,2585264,8032.79327000,614028515.30017060
76677.46000000,81500.00000000,76492.00000000,80370.01000000,61830.10043500,4905441473.90073684,7128598,32751.01217700,2597409399.23496312
80370.01000000,89530.54000000,80216.01000000,88647.99000000,82323.66577600,6944268709.94272134,9348890,42837.29531400,3613896167.37191224
88648.00000000,89940.00000000,85072.00000000,87952.01000000,97299.88791100,8540084566.27981860,11499058,49589.33345100,4353451682.82940400
87952.00000000,93265.64000000,86127.99000000,90375.20000000,86763.85412700,7790928962.04303818,11962100,44342.32932700,3983689817.40144438
90375.21000000,91790.00000000,86668.21000000,87325.59000000,56729.51086000,5073860815.92866480,9828858,27940.85600000,2499212755.77314710
87325.59000000,91850.00000000,87073.38000000,91032.07000000,47927.95068000,4276238971.18142940,8009111,24800.61087000,2213154236.50961540
91032.08000000,91779.66000000,90056.17000000,90586.92000000,22717.87689000,2067958511.90484730,4239455,11496.31366000,1046686701.00294610
90587.98000000,91449.99000000,88722.00000000,89855.99000000,23867.55609000,2153871724.81039480,4930719,11852.78227000,1070094820.67389380
89855.98000000,92594.00000000,89376.90000000,90464.08000000,46545.03448000,4239909950.66189400,7161125,23628.87098000,2153158394.31631090
90464.07000000,93905.51000000,90357.00000000,92310.79000000,43660.04682000,4025108502.84961394,5647789,22127.85272400,2040301638.11617274
92310.80000000,94831.97000000,91500.00000000,94286.56000000,42203.19871200,3950932314.64606898,7365987,20425.30796200,1912348704.24726208
94286.56000000,98988.00000000,94040.00000000,98317.12000000,69228.36047700,6722807908.32565552,9048605,35424.06322700,3440467290.31852712
98317.12000000,99588.01000000,97122.11000000,98892.00000000,46189.30924300,4555536773.36320499,7271311,22709.66819300,2240635299.64648389
98892.00000000,98908.85000000,97136.00000000,97672.40000000,24757.84367000,2431609866.32951430,3839138,11176.24870000,1097538914.94125850
97672.40000000,98564.00000000,95734.77000000,97900.04000000,31200.97838000,3034172011.95178840,4964720,15124.12176000,1471313633.74677250
97900.05000000,98871.80000000,92600.19000000,93010.01000000,50847.45096000,4883444806.32219350,8289691,23486.92705000,2255516841.61021860
93010.01000000,94973.37000000,90791.10000000,91965.16000000,57858.73138000,5370918648.81816690,10225809,29120.26765000,2702543576.08910800
91965.16000000,97208.21000000,91792.14000000,95863.11000000,41153.42734000,3894358511.61756510,6648690,20316.58245000,1922620637.30761870
95863.11000000,96564.00000000,94640.00000000,95643.98000000,28814.54357000,2749861591.25960980,4988161,14805.69321000,1412851841.07519470
95643.99000000,98619.99000000,95364.99000000,97460.00000000,27701.78231000,2690451030.63428740,5094070,13840.21172000,1344148785.26364260
97460.00000000,97463.95000000,96092.01000000,96407.99000000,14503.83306000,1402672950.69982080,3354759,7075.91503000,684284805.02344440
96407.99000000,97836.00000000,95693.88000000,97185.18000000,16938.60452000,1641327626.60622060,3342200,8114.89569000,786489040.19363780
97185.17000000,98130.00000000,94395.00000000,95840.62000000,37958.66981000,3646639621.73758780,7560103,18821.93327000,1808458555.89058410
95840.61000000,96305.52000000,93578.17000000,95849.69000000,35827.32283000,3413995542.01865610,5361712,17339.11167000,1652090703.17559560
95849.69000000,99000.00000000,94587.83000000,98587.32000000,43850.53728000,4241994533.78610610,6648724,22033.60112000,2132655972.04500000
98587.32000000,104088.00000000,90500.00000000,96945.63000000,109921.72966200,11048002942.14993118,12012364,56235.07835600,5657171374.76345580
96945.63000000,101898.99000000,95981.72000000,99740.84000000,45049.53310000,4456641685.36444370,6919102,21999.62416000,2175645718.55336060
99740.84000000,100439.18000000,98844.00000000,99831.99000000,14931.94590000,1487953846.83854580,2634566,6776.55000000,675350661.29733480
99831.99000000,101351.00000000,98657.70000000,101109.59000000,14612.99688000,1459576946.40215100,2994709,7152.80173000,714745738.91883560
101109.60000000,101215.93000000,94150.05000000,97276.47000000,53949.11595000,5283626995.70564880,8445872,25472.08477000,2495722030.53709450
97276.48000000,98270.00000000,94256.54000000,96593.00000000,51708.68933000,4988660195.09242860,11556189,24523.09586000,2367164879.17077290
96593.00000000,101888.00000000,95658.24000000,101125.00000000,37753.78291000,3745703763.01844990,8250511,19112.84559000,1897146318.21117040
101125.00000000,102540.00000000,99311.64000000,100004.29000000,29232.08745000,2949462583.86617050,8066322,14175.88661000,1430984456.67036050
100004.29000000,101895.26000000,99205.00000000,101424.25000000,21904.03923000,2203903393.07410050,5481660,10669.09365000,1073720887.63545590
101424.24000000,102650.00000000,100609.41000000,101420.00000000,14191.70326000,1441594367.04631920,3374538,6790.24676000,689981854.13948960
101420.00000000,105250.00000000,101237.14000000,104463.99000000,22228.92177500,2290462903.83579120,3638809,12668.89435500,1305611448.30009750
104463.99000000,107793.07000000,103333.00000000,106058.66000000,41302.40274000,4364964400.63455291,8048054,20349.09950000,2150550899.24752251
106058.65000000,108353.00000000,105321.49000000,106133.74000000,29064.93646600,3103833327.77510671,7212799,14187.32044600,1515158210.55198001
106133.74000000,106524.98000000,100000.00000000,100204.01000000,50307.99755000,5194263316.25923660,8762120,23308.37525000,2407213144.26949820
100204.01000000,102800.11000000,95700.00000000,97461.86000000,55147.39800000,5487546517.70775260,7273941,26898.63715000,2677636003.90650610
97461.86000000,98233.00000000,92232.54000000,97805.44000000,62884.13570000,6022845238.83232620,7429007,29463.23021000,2822939306.66307790
97805.44000000,99540.61000000,96398.39000000,97291.99000000,23483.54143000,2296232055.19592620,3717638,11726.94119000,1146732451.42181330
97292.00000000,97448.08000000,94250.35000000,95186.27000000,19353.83036000,1857819866.36039980,3633551,9293.39749000,892081877.76277080
95186.28000000,96538.92000000,92520.00000000,94881.47000000,32810.76703000,3100007213.49456320,5464919,16339.58355000,1544707289.74436910
94881.47000000,99487.99000000,93569.02000000,98663.58000000,23674.22488000,2287214424.70647590,3421549,11969.25390000,1156798174.58232600
98663.58000000,99569.15000000,97632.02000000,99429.60000000,14474.16510000,1426143976.04936360,3283028,7006.52650000,690465056.58718590
99429.61000000,99963.70000000,95199.14000000,95791.60000000,21192.36727000,2049123567.38677240,5203490,10071.87249000,973940616.12924430
95791.60000000,97544.58000000,93500.01000000,94299.03000000,26501.26429000,2528567849.77946140,5718866,12945.51657000,1235623739.05781850
94299.03000000,95733.99000000,94135.66000000,95300.00000000,8385.89290000,794651624.83495550,2732061,4203.59876000,398416342.12816700
95300.00000000,95340.00000000,93009.52000000,93738.20000000,13576.00578000,1278370863.97684710,2865838,5651.38589000,532195414.10274130
93738.19000000,95024.50000000,91530.45000000,92792.05000000,27619.42250000,2573126059.76947800,5560563,13092.19646000,1220209278.25232730
92792.05000000,96250.00000000,92033.73000000,93576.00000000,19612.03389000,1845718801.92270400,3347847,9687.96775000,911716321.60540200
93576.00000000,95151.15000000,92888.00000000,94591.79000000,10373.32613000,975444194.13799830,1516556,5347.73648000,502914035.64059070
94591.78000000,97839.50000000,94392.00000000,96984.79000000,21970.48948000,2118411852.68127950,3569079,10915.96986000,1052226710.33367170
96984.79000000,98976.91000000,96100.01000000,98174.18000000,15253.82936000,1486610768.59079170,2851164,7468.60797000,727787246.89655880
98174.17000000,98778.43000000,97514.79000000,98220.50000000,8990.05651000,881223751.63536030,1559982,4350.80221000,426524714.13055390
98220.51000000,98836.85000000,97276.79000000,98363.61000000,8095.63723000,793931715.95463240,1685799,3877.90985000,380355340.46860360
98363.61000000,102480.00000000,97920.00000000,102235.60000000,25263.43375000,2540561688.77714340,3853702,12539.59534000,1260943259.46625620
102235.60000000,102724.38000000,96181.81000000,96954.61000000,32059.87537000,3170421659.71723590,4480562,14815.11453000,1464336049.70553450
96954.60000000,97268.65000000,92500.90000000,95060.61000000,33704.67894000,3205849081.11296200,5171208,15803.85091000,1503791328.69930850
95060.61000000,95382.32000000,91203.67000000,92552.49000000,34544.83685000,3217669887.24539790,6027161,15323.62663000,1427812152.27276120
92552.49000000,95836.00000000,92206.02000000,94726.11000000,31482.86424000,2962085343.28370360,5531444,15617.43823000,1469711545.65712720
94726.10000000,95050.94000000,93831.73000000,94599.99000000,7047.90430000,665685994.93301000,1496191,3412.37671000,322346977.43545530
94599.99000000,95450.10000000,93711.19000000,94545.06000000,8606.86622000,813278829.65839490,1658863,4028.33031000,380691769.91844270
94545.07000000,95940.00000000,89256.69000000,94536.10000000,42619.56423000,3930666134.34745740,5740963,19473.88042000,1797888178.84960790
94536.11000000,97371.00000000,94346.22000000,96560.86000000,27846.61753000,2676048470.35695040,4532923,14248.69616000,1369464111.69349600
96560.85000000,100681.94000000,96500.00000000,100497.35000000,30509.99179000,3006242382.88679460,3487945,15494.17873000,1527728226.30833280
100497.35000000,100866.66000000,97335.13000000,99987.30000000,27832.85317000,2765162040.63979910,3762755,13513.53707000,1342462621.62732850
99987.30000000,105865.22000000,99950.77000000,104077.48000000,39171.85292000,4040993985.47504680,3886907,20673.21300000,2131223293.20484620
104077.47000000,104988.88000000,102277.55000000,104556.23000000,24307.82998000,2521522119.37952530,3403162,11607.51274000,1204170928.37481190
104556.23000000,106422.43000000,99651.60000000,101331.57000000,43397.28298000,4513423971.41025210,5271920,21079.51082000,2193270771.00194450
101331.57000000,109588.00000000,99550.00000000,102260.01000000,89529.23173200,9398787064.32071500,11597937,44770.52949200,4704453254.51538250
102260.00000000,107240.81000000,100119.04000000,106143.82000000,45941.02002000,4768512258.15650130,6842980,23227.02741000,2411854258.51271880
106143.82000000,106394.46000000,103339.12000000,103706.66000000,22248.69254000,2331144640.65857870,4364035,10501.59306000,1100173331.98765840
103706.66000000,106850.00000000,101262.28000000,103910.34000000,53953.12031000,5610760848.13163840,6961383,27045.92646000,2813824950.57188350
103910.35000000,107120.00000000,102750.00000000,104870.50000000,23609.24017000,2483818574.37374800,4798886,11893.46050000,1251601023.34846860
104870.51000000,105286.52000000,104106.09000000,104746.85000000,9068.32377000,949511531.35780170,1770765,4462.60438000,467284996.37609660
104746.86000000,105500.00000000,102520.44000000,102620.00000000,9812.51238000,1024352365.47155230,1813011,4642.17247000,484871090.33614970
102620.01000000,103260.00000000,97777.77000000,102082.83000000,50758.13410000,5092886322.82924400,9368910,23529.22433000,2361569760.84189380
102082.83000000,103800.00000000,100272.68000000,101335.52000000,22022.05765000,2253977324.03620920,5428644,10756.64741000,1101357650.29198760
101335.52000000,104782.68000000,101328.01000000,103733.24000000,23155.35802000,2380383694.77213620,5189699,11675.17182000,1200636637.81436690
103733.25000000,106457.44000000,103278.54000000,104722.94000000,19374.07472000,2038112603.51264120,3990075,10140.92834000,1066933244.99202070
104722.94000000,106012.00000000,101560.00000000,102429.56000000,21983.18193000,2282174002.19521760,4331904,10697.39968000,1111485874.12928450
102429.56000000,102783.71000000,100279.51000000,100635.65000000,12290.95747000,1250354228.23722970,2588786,5625.89331000,572540016.14901110
100635.66000000,101456.60000000,96150.00000000,97700.59000000,34619.49939000,3412084312.58362790,7202339,15587.16669000,1536076091.30301330
97700.59000000,102500.01000000,91231.00000000,101328.52000000,75164.73850000,7228589180.71162140,10625262,36736.56946000,3537845694.48126590
101328.51000000,101732.31000000,96150.00000000,97763.13000000,40267.98697000,3989698644.26493070,6618911,19091.58154000,1891457194.35983290
97763.14000000,99149.00000000,96155.00000000,96612.43000000,26233.30444000,2562342153.82968530,4471763,11032.55174000,1078316288.14255890
96612.44000000,99120.00000000,95676.64000000,96554.35000000,23515.20405000,2289071921.21756010,4242807,11261.53049000,1096611639.37600890
